# REBOUND parity — Figure-8 choreography — apsis IAS15 side
# protocol: paper/notebooks/2026-04-26-rebound-parity-figure8.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# mass=1, period=6.325913986999999850e0
# n_periods=10, samples_per_period=200, dt0=6.325913986999999808e-3
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
824,2.607386915317354692e1,-2.760349927966240791e-1,2.291648216560439599e-1,1.040127557598257146e0,-6.857576569939671796e-1,1.059443655425249986e0,1.135490617490558934e-1,-1.820600898908342757e-1,4.665023336657685427e-1,-7.834086626286276278e-1,-3.427138834051003946e-1,-8.580674677074230372e-1,2.192553233281986924e-1,-1.287141991766325821e0
825,2.609540950117385094e1,-2.537657076252471389e-1,2.140941248852586687e-1,1.027535610990685910e0,-7.131326132608399870e-1,1.055329341939033050e0,1.235928281279364549e-1,-2.000241734555494866e-1,4.660258712387005953e-1,-8.015636343137876318e-1,-3.376869530131956232e-1,-8.275114375351364515e-1,2.471067420221393640e-1,-1.287141991766325599e0
826,2.613937328157810569e1,-2.091530846851310244e-1,1.816433182924765688e-1,1.002171931561668838e0,-7.614398086473439520e-1,1.045704675283883667e0,1.440504359606372964e-1,-2.381694104904327758e-1,4.644885455912486916e-1,-8.365515905987543910e-1,-3.256937542531143648e-1,-7.640025210712362291e-1,2.969512630560952604e-1,-1.287141991766325821e0
827,2.616183546281403238e1,-1.867811665025390089e-1,1.643008802076924846e-1,9.899020735838545137e-1,-7.822804558742952885e-1,1.040127613043724253e0,1.544713780850600349e-1,-2.585049744161250218e-1,4.633283746758823929e-1,-8.533464465411869648e-1,-3.187722582927530190e-1,-7.313970991677296585e-1,3.189520811984129511e-1,-1.287141991766326043e0
828,2.620776842117377470e1,-1.418436650017814160e-1,1.275287639239846560e-1,9.674335126793031092e-1,-8.171371166910540440e-1,1.027263688184388846e0,1.756808176887464101e-1,-3.020745531728009636e-1,4.599055993504250206e-1,-8.854200231826091505e-1,-3.032095816127315935e-1,-6.653589595065023676e-1,3.572315173406290234e-1,-1.287141991766326043e0
829,2.623123023253779351e1,-1.192625028181391877e-1,1.081887191873666526e-1,9.577188630568954641e-1,-8.310794655322352176e-1,1.019903921027822680e0,1.864436254169355156e-1,-3.254385208275102914e-1,4.574828995555741407e-1,-9.006414182096853516e-1,-2.946323446043026539e-1,-6.322803422293853393e-1,3.735965659766610769e-1,-1.287141991766326043e0
830,2.625494696503594483e1,-9.665094083004042991e-2,8.833628736412806048e-2,9.493366691849526307e-1,-8.426296823715822004e-1,1.011897519274888024e0,1.972590748321251530e-1,-3.498697930441421744e-1,4.544672232311827709e-1,-9.152465784448494679e-1,-2.855953621962536992e-1,-5.994668761408106228e-1,3.881624591403994295e-1,-1.287141991766325821e0
831,2.630244302964869973e1,-5.187124365703554840e-2,4.790262682472097577e-2,9.374065662930208820e-1,-8.583661810965631522e-1,9.940706336192508541e-1,2.186636726042020806e-1,-4.013865125721379767e-1,4.463468578435220158e-1,-9.421993899622170821e-1,-2.665662994289235699e-1,-5.360200537208830163e-1,4.120193232530411365e-1,-1.287141991766325821e0
832,2.632560483876394031e1,-3.020064503554933596e-2,2.796826588390312687e-2,9.341133762957728459e-1,-8.625738688082320582e-1,9.844694562036024887e-1,2.289437383071851462e-1,-4.278106495526528552e-1,4.411803685062377633e-1,-9.542688111680549534e-1,-2.569120041910887831e-1,-5.063027267431200462e-1,4.213935003019943504e-1,-1.287141991766325821e0
833,2.634781611955261482e1,-9.472829106406460350e-3,8.784022711062619213e-3,9.325757337650758538e-1,-8.645191939453025221e-1,9.746782067427293139e-1,2.386798370910000189e-1,-4.539702027593182643e-1,4.353482568204828929e-1,-9.652053776363246351e-1,-2.474638598020631464e-1,-4.786055310057577561e-1,4.291709371248196847e-1,-1.287141991766326266e0
834,2.639141832723340642e1,3.120307693588015782e-2,-2.889379742663358147e-2,9.342280871215451477e-1,-8.624282544157206853e-1,9.537247834734915442e-1,2.573639753840863409e-1,-5.076608711268382201e-1,4.209887231924374085e-1,-9.849278604093735234e-1,-2.284701779574532798e-1,-4.265672159947070385e-1,4.414395312232832769e-1,-1.287141991766326043e0
835,2.643093007172109665e1,6.823357776965861821e-2,-6.281931234038688749e-2,9.409943665454176820e-1,-8.537164773470090617e-1,9.326615038093388765e-1,2.736765678734458529e-1,-5.589168438164321406e-1,4.040334345899517232e-1,-1.000895081578999202e0,-2.108572555330594789e-1,-3.820775227289855969e-1,4.496830427570573385e-1,-1.287141991766326043e0
836,2.645288121922701663e1,8.895084693959935673e-2,-8.147860221518640755e-2,9.468234887945408129e-1,-8.460112387768746744e-1,9.200703642318620590e-1,2.824240795713131025e-1,-5.883928594623832886e-1,3.927234758698610606e-1,-1.009021211171463150e0,-2.009454773561272223e-1,-3.584306293321576353e-1,4.532877629070136138e-1,-1.287141991766325155e0
