# REBOUND parity — Retrograde Kepler e=0.5 — apsis IAS15 side
# protocol: docs/experiments/2026-05-01-rebound-parity-retrograde.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# a=1, e=0.5, m_primary=1, m_secondary=1e-6
# orbit_sense: retrograde (secondary_vy = -v_peri)
# period=6.283185307179586232e0, dt0=6.283185307179586614e-3, n_orbits=10000
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
3941,2.476204991546544261e4,-4.617926680825743813e-7,2.370976792890503607e-7,5.274037956154967291e-7,1.604567389042949050e-6,4.617926680984181242e-1,-2.370976793226205748e-1,-5.274037956154951079e-1,-1.604567389042952152e0,-5.000014999984978058e-7
3942,2.476832984941212999e4,-4.634737162848517145e-7,2.319223238491137739e-7,5.167283306130054987e-7,1.609978754437725293e-6,4.634737163007056626e-1,-2.319223238827033684e-1,-5.167283306130039389e-1,-1.609978754437728421e0,-5.000014999984982294e-7
3943,2.477460968597950705e4,-4.651694990736306267e-7,2.265723909022317128e-7,5.056357871335965614e-7,1.615455364063050703e-6,4.651694990894949533e-1,-2.265723909358408616e-1,-5.056357871335950271e-1,-1.615455364063054011e0,-5.000014999984971706e-7
3944,2.478088957706243309e4,-4.668013672826451073e-7,2.212928168276157916e-7,4.946335047058990285e-7,1.620742532405844527e-6,4.668013672985198426e-1,-2.212928168612444679e-1,-4.946335047058973422e-1,-1.620742532405847758e0,-5.000014999984980176e-7
3945,2.478716943340445869e4,-4.684139866160060380e-7,2.159396681817787233e-7,4.834226780606215098e-7,1.625983768128909907e-6,4.684139866318917655e-1,-2.159396682154267610e-1,-4.834226780606197815e-1,-1.625983768128913098e0,-5.000014999984978058e-7
3946,2.479344992880735663e4,-4.696870715883401733e-7,2.116114783708186513e-7,4.743185465536259170e-7,1.630133059124308046e-6,4.696870716042366167e-1,-2.116114784044858532e-1,-4.743185465536242651e-1,-1.630133059124311057e0,-5.000014999984973823e-7
3947,2.479974797344471153e4,-4.622478300122097316e-7,2.357085024151755582e-7,5.245436543805263527e-7,1.606030843774837711e-6,4.622478300281168684e-1,-2.357085024488623504e-1,-5.245436543805247487e-1,-1.606030843774840955e0,-5.000014999984975941e-7
3948,2.480601827646343372e4,-4.687123857754246650e-7,2.149335090977619783e-7,4.813094210777401849e-7,1.626955403788784773e-6,4.687123857913422231e-1,-2.149335091314680812e-1,-4.813094210777385529e-1,-1.626955403788787891e0,-5.000014999984978058e-7
3949,2.481230703332148914e4,-4.659622083339713141e-7,2.240243975420813983e-7,5.003327641868950158e-7,1.618021616649391644e-6,4.659622083498993206e-1,-2.240243975758064998e-1,-5.003327641868934306e-1,-1.618021616649394812e0,-5.000014999984969588e-7
3950,2.481858697015190774e4,-4.675543152535041599e-7,2.188107873442529648e-7,4.894423573593609748e-7,1.623187679722154949e-6,4.675543152694423554e-1,-2.188107873779970847e-1,-4.894423573593593702e-1,-1.623187679722158050e0,-5.000014999984978058e-7
3951,2.482486691295878336e4,-4.691083874549534350e-7,2.135904470017493636e-7,4.784855793224198575e-7,1.628245717512541820e-6,4.691083874709018886e-1,-2.135904470355123874e-1,-4.784855793224182530e-1,-1.628245717512544877e0,-5.000014999984978058e-7
3952,2.483115563197591109e4,-4.663927489380943345e-7,2.226274101576305061e-7,4.974198628838254568e-7,1.619417063362290886e-6,4.663927489540528604e-1,-2.226274101914123005e-1,-4.974198628838237823e-1,-1.619417063362293963e0,-5.000014999984980176e-7
3953,2.483743556885936414e4,-4.679754213097818114e-7,2.174094390218781355e-7,4.865062126678399546e-7,1.624556748705426924e-6,4.679754213257508177e-1,-2.174094390556786660e-1,-4.865062126678382781e-1,-1.624556748705429987e0,-5.000014999984978058e-7
3954,2.484371541347183302e4,-4.695667057062432076e-7,2.120247214121937754e-7,4.751893003585930499e-7,1.629740318825500281e-6,4.695667057222228102e-1,-2.120247214460131424e-1,-4.751893003585913600e-1,-1.629740318825503520e0,-5.000014999984978058e-7
3955,2.485001349624648356e4,-4.620946954066873203e-7,2.361768623802830519e-7,5.255083927009694631e-7,1.605538336026999878e-6,4.620946954226776704e-1,-2.361768624141210582e-1,-5.255083927009677192e-1,-1.605538336027003021e0,-5.000014999984980176e-7
3956,2.485629330652908175e4,-4.638332533210993770e-7,2.307991799608929309e-7,5.144043696918757484e-7,1.611138398657492251e-6,4.638332533371005706e-1,-2.307991799947495259e-1,-5.144043696918740860e-1,-1.611138398657495197e0,-5.000014999984978058e-7
3957,2.486257310016414340e4,-4.655428980014661634e-7,2.253760296561617408e-7,5.031474493962589134e-7,1.616663685447045565e-6,4.655428980174783349e-1,-2.253760296900365334e-1,-5.031474493962572181e-1,-1.616663685447048637e0,-5.000014999984978058e-7
3958,2.486885291148399847e4,-4.672058562454882156e-7,2.199631748666247316e-7,4.918540468219831784e-7,1.622055639613847123e-6,4.672058562615112876e-1,-2.199631749005175330e-1,-4.918540468219814166e-1,-1.622055639613850131e0,-5.000014999984978058e-7
3959,2.487513291067442333e4,-4.687405819906852787e-7,2.148381757700670676e-7,4.811090911302545921e-7,1.627047244277571118e-6,4.687405820067196416e-1,-2.148381758039783207e-1,-4.811090911302529083e-1,-1.627047244277574300e0,-5.000014999984973823e-7
3960,2.488142112083280881e4,-4.662644388826324179e-7,2.230447218941479276e-7,4.982904122033111042e-7,1.619001069628984265e-6,4.662644388986777466e-1,-2.230447219280772830e-1,-4.982904122033093297e-1,-1.619001069628987155e0,-5.000014999984978058e-7
3961,2.488770097601171801e4,-4.678897331823274687e-7,2.176953708043142537e-7,4.871056102923555219e-7,1.624278075244727130e-6,4.678897331983838392e-1,-2.176953708382616259e-1,-4.871056102923537745e-1,-1.624278075244730113e0,-5.000014999984973823e-7
3962,2.489398085611378337e4,-4.694661212884551036e-7,2.123693942642782902e-7,4.759153245402258820e-7,1.629412193580161338e-6,4.694661213045225878e-1,-2.123693942982435023e-1,-4.759153245402241161e-1,-1.629412193580164203e0,-5.000014999984978058e-7
3963,2.490026954170518366e4,-4.667812299212053059e-7,2.213587894583239883e-7,4.947713234390823560e-7,1.620677186625290562e-6,4.667812299372839924e-1,-2.213587894923066401e-1,-4.947713234390805903e-1,-1.620677186625293364e0,-5.000014999984975941e-7
3964,2.490654936335713501e4,-4.684110783141881739e-7,2.159494499670738588e-7,4.834432135315562159e-7,1.625974300997034358e-6,4.684110783302779524e-1,-2.159494500010738505e-1,-4.834432135315545609e-1,-1.625974300997037325e0,-5.000014999984975941e-7
