# Long-horizon Mercury 1PN — apsis IAS15 side
# protocol: paper/notebooks/2026-05-13-mercury-1pn-long-horizon.md
# integrator: IAS15 (apsis), perturbation: PostNewtonian1PN::for_units(UnitSystem::solar_canonical())
# units: canonical Hénon (G = 1)
# a=0.387098, e=0.20563, m_mercury=1.660114e-7
# period=1.513251312931102266e0, dt0=1.000000000000000048e-4, n_orbits=4153
orbit,t,x,y,vx,vy,a_osc,e_osc,omega_osc
1945,2.943275806006201492e3,3.074934509794594595e-1,1.970136650465385483e-3,-1.085060535141216254e-2,1.980057105982273580e0,3.870979024679998548e-1,2.056297998539539096e-1,9.763794473542148538e-4
1946,2.944788561668174225e3,3.074975328916701445e-1,9.875757960047990523e-4,-5.603477377716672980e-3,1.980082337372100598e0,3.870979024675021418e-1,2.056297998522082782e-1,9.768828373983872750e-4
1947,2.946306852040964259e3,3.073350778275196205e-1,1.096233448799563415e-2,-5.887387230822541118e-2,1.979047048682821996e0,3.870979024918377309e-1,2.056297999375316654e-1,9.773706842840996275e-4
1948,2.947813584643907689e3,3.074942369792487695e-1,-1.944451144814219679e-3,1.005548002626253934e-2,1.980057965564807843e0,3.870979024684843561e-1,2.056297998556527729e-1,9.778909895537645901e-4
1949,2.949337938766509978e3,3.069543383608393516e-1,2.002727454042541738e-2,-1.072596177675919082e-1,1.976606206943519295e0,3.870979025510636884e-1,2.056298001451510316e-1,9.783618389922659267e-4
1950,2.950844746049560399e3,3.074263578251326123e-1,7.278177184137140689e-3,-3.919931016293735915e-2,1.979630800785535438e0,3.870979024778644639e-1,2.056297998885409373e-1,9.788818971058163045e-4
1951,2.952363289988771612e3,3.070709409956659530e-1,1.774936894493414977e-2,-9.510262883930913069e-2,1.977354149753611345e0,3.870979025328498691e-1,2.056298000813074067e-1,9.793690545208634177e-4
1952,2.953875981892227173e3,3.071225358416162510e-1,1.664205160617413665e-2,-8.919343805964415062e-2,1.977685032111857089e0,3.870979025248044714e-1,2.056298000531051606e-1,9.798726179380552303e-4
1953,2.955388736044449161e3,3.071656169280997384e-1,1.565766426128390593e-2,-8.393991195404704175e-2,1.977961268267784734e0,3.870979025180953936e-1,2.056298000295864459e-1,9.803760077199893952e-4
1954,2.956895504704710675e3,3.074877713701709148e-1,2.825883465259754288e-3,-1.542301780051084925e-2,1.980021462097638629e0,3.870979024687702941e-1,2.056297998566557483e-1,9.808961971410263582e-4
1955,2.958408243288200083e3,3.074942941780026140e-1,1.809526682796472243e-3,-9.995392039233302883e-3,1.980062370147833706e0,3.870979024678894431e-1,2.056297998535673577e-1,9.813996351184461030e-4
