# Long-horizon Mercury 1PN — apsis IAS15 side
# protocol: paper/notebooks/2026-05-13-mercury-1pn-long-horizon.md
# integrator: IAS15 (apsis), perturbation: PostNewtonian1PN::for_units(UnitSystem::solar_canonical())
# units: canonical Hénon (G = 1)
# a=0.387098, e=0.20563, m_mercury=1.660114e-7
# period=1.513251312931102266e0, dt0=1.000000000000000048e-4, n_orbits=4153
orbit,t,x,y,vx,vy,a_osc,e_osc,omega_osc
335,5.069481749335719201e2,3.070880633314130304e-1,1.744034641993820120e-2,-9.317912242575379644e-2,1.977448818890120918e0,3.870979025323870726e-1,2.056298000795950820e-1,1.681439385602497753e-4
336,5.084596718462527747e2,3.072353292096491884e-1,1.396915137565208839e-2,-7.465219589042217108e-2,1.978396055813830934e0,3.870979025090235948e-1,2.056297999976933744e-1,1.686508496293176993e-4
337,5.099722302759492436e2,3.072845529026393963e-1,1.259713170753603943e-2,-6.732827059061306796e-2,1.978712676164770867e0,3.870979025012178387e-1,2.056297999703281532e-1,1.691547894504114014e-4
338,5.114849386423344413e2,3.073195823078693767e-1,1.152160391995905517e-2,-6.158679618980343606e-2,1.978937990035704031e0,3.870979024956651693e-1,2.056297999508606700e-1,1.696583095637477852e-4
339,5.129976158246752220e2,3.073532275520646784e-1,1.038427758841431459e-2,-5.551477033900209523e-2,1.979154390308980327e0,3.870979024903342114e-1,2.056297999321708425e-1,1.701619176571703303e-4
340,5.145103339573553285e2,3.073813497974199338e-1,9.327905677716302399e-3,-4.987454552456935253e-2,1.979335255127467885e0,3.870979024858808293e-1,2.056297999165580537e-1,1.706654113115343041e-4
341,5.160230436346133729e2,3.074068353709753509e-1,8.255253869925425689e-3,-4.414415349532148369e-2,1.979499146030181622e0,3.870979024818480552e-1,2.056297999024189749e-1,1.711689290796394468e-4
342,5.175358011996530649e2,3.074273624520840742e-1,7.276775573320058178e-3,-3.891930589685466124e-2,1.979631132618497213e0,3.870979024786030953e-1,2.056297998910413538e-1,1.716723127362529834e-4
343,5.190485595561564196e2,3.074452803490584363e-1,6.299798722146863691e-3,-3.370229942579043569e-2,1.979746321745947668e0,3.870979024757739695e-1,2.056297998811215388e-1,1.721756944233892314e-4
344,5.205670924042420893e2,3.071199279458179943e-1,1.675011682725795897e-2,-8.949725884131989884e-2,1.977653853292597352e0,3.870979025273189600e-1,2.056298000618294042e-1,1.726628795722516161e-4
345,5.220798473989256081e2,3.071630892798649093e-1,1.576738611393128583e-2,-8.425283240334707768e-2,1.977931474136090717e0,3.870979025204709378e-1,2.056298000378227742e-1,1.731662667891691412e-4
346,5.235925916924744570e2,3.072044896504340650e-1,1.476333294968859913e-2,-7.889425445993780706e-2,1.978197770786416454e0,3.870979025139029694e-1,2.056298000147986083e-1,1.736696845442079601e-4
347,5.251053068598024538e2,3.072453074424584263e-1,1.370156151099138561e-2,-7.322692776556576078e-2,1.978460319822340496e0,3.870979025074292035e-1,2.056297999921039288e-1,1.741731844789864091e-4
348,5.266116746619571813e2,3.074989783665165177e-1,7.426776200247378688e-5,-4.555113241048458494e-4,1.980090912086351684e0,3.870979024673862345e-1,2.056297998517123693e-1,1.746945066589715369e-4
349,5.281300567615003274e2,3.073574825213878370e-1,1.023159744093504221e-2,-5.469880608183101678e-2,1.979181811491318888e0,3.870979024896523679e-1,2.056297999297799772e-1,1.751820948647204263e-4
350,5.296487675612164594e2,3.069015212955381045e-1,2.102876290710071344e-2,-1.123280148271800088e-1,1.976249251610775692e0,3.870979025619659120e-1,2.056298001832736755e-1,1.756688030105259929e-4
351,5.311555128950680000e2,3.074089809423210529e-1,8.158079957328602180e-3,-4.362736514939770383e-2,1.979512986544239794e0,3.870979024815026093e-1,2.056297999012067779e-1,1.761890268852967130e-4
352,5.326739702041944611e2,3.070387342717108559e-1,1.845693563535952264e-2,-9.860708815595209398e-2,1.977131715537253198e0,3.870979025401899420e-1,2.056298001069463144e-1,1.766764321435732726e-4
353,5.341866587366464501e2,3.070926040255869127e-1,1.734304244786130308e-2,-9.266345365458070193e-2,1.977478194869673134e0,3.870979025316416133e-1,2.056298000769822276e-1,1.771800043235232367e-4
354,5.356932253402733295e2,3.074760481730722805e-1,4.113101500398950658e-3,-2.202700092157486300e-2,1.979944047085673509e0,3.870979024709265137e-1,2.056297998641261060e-1,1.777007523218708529e-4
355,5.372059566174445990e2,3.074860814044695911e-1,3.082335553584537868e-3,-1.652241276049129515e-2,1.980008453448518724e0,3.870979024693562698e-1,2.056297998586206210e-1,1.782042106677790691e-4
356,5.387249995175043296e2,3.072131293708540434e-1,1.454466161794487795e-2,-7.772926965612657335e-2,1.978253421253457267e0,3.870979025125212414e-1,2.056298000099550383e-1,1.786899542241467706e-4
357,5.402373064023452116e2,3.072818630633159520e-1,1.267506313777199377e-2,-6.774901623129994666e-2,1.978695513282562768e0,3.870979025016241248e-1,2.056297999717522917e-1,1.791945988990248882e-4
358,5.417500667355019459e2,3.073138845351847115e-1,1.170298481177331311e-2,-6.255667947655291217e-2,1.978901470499726978e0,3.870979024965494619e-1,2.056297999539611066e-1,1.796979732215034516e-4
359,5.432686809936780037e2,3.068266270307778432e-1,2.230712315947767227e-2,-1.191488390548942761e-1,1.975767745562161837e0,3.870979025738349732e-1,2.056298002248736490e-1,1.801849603408343427e-4
360,5.447749946867922972e2,3.073993357942929605e-1,8.584255474805152497e-3,-4.590486918881966916e-2,1.979451010430972158e0,3.870979024830214499e-1,2.056297999065322957e-1,1.807063865765751545e-4
361,5.462933191583757662e2,3.070305513778103790e-1,1.861995377757106468e-2,-9.947874090810196468e-2,1.977079178896590017e0,3.870979025414749142e-1,2.056298001114510998e-1,1.811941655349750234e-4
362,5.477997082444518355e2,3.074645711839681383e-1,5.040254340725417587e-3,-2.697980307795194710e-2,1.979870348299920035e0,3.870979024727262963e-1,2.056297998704366692e-1,1.817154051301993439e-4
363,5.493176178774295977e2,3.072242391802890715e-1,1.425897456885498633e-2,-7.620495868597897127e-2,1.978324932947294501e0,3.870979025107518789e-1,2.056298000037518059e-1,1.822043310976215614e-4
364,5.508303726258768620e2,3.072608134043163797e-1,1.327545964173214472e-2,-7.095514661831087144e-2,1.978560177172371759e0,3.870979025049530176e-1,2.056297999834227619e-1,1.827077203475388587e-4
365,5.523434936064327303e2,3.072700063760889222e-1,1.301651279011998771e-2,-6.957316354392292790e-2,1.978619310669380127e0,3.870979025034949061e-1,2.056297999783114339e-1,1.832100831888805914e-4
366,5.538561655149931084e2,3.073085760328602700e-1,1.186949155514389724e-2,-6.344692382470634717e-2,1.978867380419658817e0,3.870979024973829064e-1,2.056297999568832413e-1,1.837137053498418828e-4
367,5.553688746030663879e2,3.073414542868453392e-1,1.079537100036117442e-2,-5.771238135347761533e-2,1.979078835092143551e0,3.870979024921746836e-1,2.056297999386244857e-1,1.842172237742315140e-4
368,5.568816555327249489e2,3.073674586147306931e-1,9.863330511302212389e-3,-5.273616201506947654e-2,1.979246070605344965e0,3.870979024880576991e-1,2.056297999241907259e-1,1.847205410496030218e-4
369,5.584000492320426474e2,3.069566684435891535e-1,2.003426640781153650e-2,-1.070262741213437729e-1,1.976604110140917303e0,3.870979025531843809e-1,2.056298001524953234e-1,1.852081331514375138e-4
370,5.599070009296569879e2,3.074214498283869834e-1,7.570477298709226560e-3,-4.049356123232994431e-2,1.979593233495601456e0,3.870979024795205281e-1,2.056297998942586136e-1,1.857277842210563719e-4
371,5.614197179067404022e2,3.074415952719939393e-1,6.511540300504819502e-3,-3.483921774000320326e-2,1.979722732879303226e0,3.870979024763407939e-1,2.056297998831098373e-1,1.862312820353476041e-4
372,5.629324865271493081e2,3.074571951314891138e-1,5.554815773012962074e-3,-2.973037411408857578e-2,1.979822986467484114e0,3.870979024738826491e-1,2.056297998744909816e-1,1.867346350709212302e-4
373,5.644510466181756101e2,3.071504698870166639e-1,1.605979072214782852e-2,-8.581950092317597312e-2,1.977850551952273994e0,3.870979025224365877e-1,2.056298000447151775e-1,1.872217407499479549e-4
374,5.659637660301813185e2,3.071946641888987917e-1,1.500716653521190665e-2,-8.019854367531023542e-2,1.978134802528350278e0,3.870979025154279163e-1,2.056298000201451925e-1,1.877252280480991721e-4
375,5.674704889180295595e2,3.074930656503288007e-1,2.084149740220311246e-3,-1.119249614927024516e-2,1.980053253158286841e0,3.870979024682685288e-1,2.056297998548061445e-1,1.882455477390593203e-4
376,5.689888798095824995e2,3.072959280262569925e-1,1.225723561000407330e-2,-6.551918329558355236e-2,1.978786101952076937e0,3.870979024993766449e-1,2.056297999638740104e-1,1.887331158375861700e-4
377,5.705015897641784477e2,3.073298792422822778e-1,1.118486369275273340e-2,-5.979415992958134196e-2,1.979004455349344438e0,3.870979024939989466e-1,2.056297999450199254e-1,1.892366316569911054e-4
378,5.720137150384711049e2,3.073905341568196059e-1,8.955096560965700170e-3,-4.788869012418184301e-2,1.979394502785459142e0,3.870979024844004579e-1,2.056297999113683161e-1,1.897417887846709330e-4
379,5.735264051201978646e2,3.074157671370981171e-1,7.843023296354618978e-3,-4.195088886411367513e-2,1.979556738519967052e0,3.870979024804125368e-1,2.056297998973859731e-1,1.902453616943884619e-4
380,5.750449303375273757e2,3.070476330954728938e-1,1.827648700933734438e-2,-9.765034622446437662e-2,1.977189228221735151e0,3.870979025387373262e-1,2.056298001018549426e-1,1.907325753893203532e-4
381,5.765576438622761088e2,3.070986686056279558e-1,1.721200491779524208e-2,-9.197019963715481750e-2,1.977517463848011303e0,3.870979025306411914e-1,2.056298000734761433e-1,1.912360777487691842e-4
382,5.780703651248558117e2,3.071459781448570014e-1,1.616266617542711642e-2,-8.637025775199803912e-2,1.977821742210356559e0,3.870979025231375825e-1,2.056298000471717125e-1,1.917395591530358186e-4
383,5.795835678137566447e2,3.071502084321214854e-1,1.606596873247187127e-2,-8.585166727560204769e-2,1.977848958131411594e0,3.870979025224653980e-1,2.056298000448155139e-1,1.922416927759890322e-4
384,5.810899186599359609e2,3.074910955723723638e-1,2.407395428666300480e-3,-1.292059878095570824e-2,1.980040645463515103e0,3.870979024685706205e-1,2.056297998558670459e-1,1.927630531589904312e-4
385,5.826026690837256865e2,3.074962445542210321e-1,1.414530208256471310e-3,-7.618134395555961613e-3,1.980073591807916200e0,3.870979024677805858e-1,2.056297998530960680e-1,1.932664578840288588e-4
386,5.841155209732867206e2,3.074984455074311618e-1,6.225449294279151047e-4,-3.388643303620653136e-3,1.980087596644590109e0,3.870979024674542357e-1,2.056297998519517889e-1,1.937695775753811253e-4
387,5.856343545339674392e2,3.073148114984653456e-1,1.167246005917635041e-2,-6.239995945388789045e-2,1.978907616710303019e0,3.870979024963754345e-1,2.056297999533519549e-1,1.942559004575552021e-4
388,5.871470796018666078e2,3.073462146382812676e-1,1.062988683151397037e-2,-5.683410104294280007e-2,1.979109570522677330e0,3.870979024914034672e-1,2.056297999359209816e-1,1.947593741370027339e-4
389,5.886597973158270634e2,3.073750624758548322e-1,9.572688962729811873e-3,-5.118964513806813221e-2,1.979295076688988964e0,3.870979024868388407e-1,2.056297999199172277e-1,1.952628688749269241e-4
390,5.901724861956934092e2,3.074022042207276706e-1,8.458340029600754095e-3,-4.523959191198916041e-2,1.979469591794795758e0,3.870979024825477732e-1,2.056297999048726233e-1,1.957664449412101736e-4
391,5.916851921014942945e2,3.074253257776882187e-1,7.378153740147969965e-3,-3.946873788180836617e-2,1.979618234333957671e0,3.870979024788961942e-1,2.056297998920700310e-1,1.962699735858696663e-4
392,5.931979057324365385e2,3.074450361654121888e-1,6.312642087238677473e-3,-3.377890877726384689e-2,1.979744919320444607e0,3.870979024757879028e-1,2.056297998811714434e-1,1.967734808485994036e-4
393,5.947106730478684540e2,3.074601610728735501e-1,5.353351161707296108e-3,-2.865618098353034382e-2,1.979842103400068165e0,3.870979024734068075e-1,2.056297998728233156e-1,1.972768375908375081e-4
394,5.962234655642067764e2,3.074722075159545542e-1,4.443898884271687069e-3,-2.379956367282280716e-2,1.979919476566942116e0,3.870979024715152650e-1,2.056297998661905657e-1,1.977801237230802770e-4
395,5.977361963279889778e2,3.074831728513051088e-1,3.412116356296476458e-3,-1.828964278711181501e-2,1.979989861842617938e0,3.870979024698000814e-1,2.056297998601764043e-1,1.982835834648297537e-4
396,5.992489130598954716e2,3.074914454399427788e-1,2.352498911476827350e-3,-1.263105578432525966e-2,1.980042901544826428e0,3.870979024685146652e-1,2.056297998556700368e-1,1.987870827597366377e-4
397,6.007674197331358528e2,3.072790948028457092e-1,1.275447664896661726e-2,-6.817933623850196134e-2,1.978677986722116700e0,3.870979025020224729e-1,2.056297999731492576e-1,1.992743269324129349e-4
398,6.022802007359135814e2,3.073100236170772659e-1,1.182275738042321174e-2,-6.320545154062956472e-2,1.978876896526828855e0,3.870979024971235583e-1,2.056297999559741629e-1,1.997776432517954655e-4
399,6.037872740973717782e2,3.074987768439336189e-1,-4.082595765931156017e-4,2.115727598686847899e-3,1.980089507038850449e0,3.870979024674338631e-1,2.056297998518800685e-1,2.002969886455094881e-4
400,6.053057858837970571e2,3.073636197523912372e-1,1.000542138483155596e-2,-5.349998858747004316e-2,1.979221558360763966e0,3.870979024886403996e-1,2.056297999262327036e-1,2.007842120440892582e-4
401,6.068242258155960371e2,3.069439111884017524e-1,2.026756493750040203e-2,-1.082760022351792056e-1,1.976522423747252288e0,3.870979025551569697e-1,2.056298001594090707e-1,2.012716756925999261e-4
402,6.083369142848265483e2,3.070032345580116506e-1,1.915390319702688429e-2,-1.023345715580967208e-1,1.976903924846598271e0,3.870979025457461642e-1,2.056298001264237618e-1,2.017752466711312869e-4
403,6.098490701968720487e2,3.071090478234188570e-1,1.698691858123813764e-2,-9.077136239165971288e-2,1.977584421000536219e0,3.870979025289655873e-1,2.056298000676017035e-1,2.022803089374640656e-4
404,6.113608739697731380e2,3.072294209948920884e-1,1.412258456969592464e-2,-7.548348125103863937e-2,1.978358577233515270e0,3.870979025098843507e-1,2.056298000007116544e-1,2.027863608516365689e-4
405,6.128735860782762757e2,3.072686217134253384e-1,1.305466026338370812e-2,-6.978312479943581115e-2,1.978610689707963832e0,3.870979025036728194e-1,2.056297999789359343e-1,2.032898697121709856e-4
406,6.143810239511831242e2,3.074957125846376482e-1,1.545684058562405219e-3,-8.324101771808173345e-3,1.980070210658764207e0,3.870979024678591340e-1,2.056297998533709870e-1,2.038081875226511997e-4
407,6.158995745896223752e2,3.073031667825362190e-1,1.203521360771199825e-2,-6.434141284019122276e-2,1.978832859944523292e0,3.870979024982006411e-1,2.056297999597507531e-1,2.042953062151550746e-4
408,6.174122673546614806e2,3.073374857729349041e-1,1.092935036952036830e-2,-5.843454053677936411e-2,1.979053557139042407e0,3.870979024927678203e-1,2.056297999407037946e-1,2.047988703593142017e-4
409,6.189249758048985086e2,3.073676770547696946e-1,9.853870941115229834e-3,-5.269242550164163208e-2,1.979247694939869406e0,3.870979024879914188e-1,2.056297999239585228e-1,2.053023909759237899e-4
410,6.204377639119670675e2,3.073909746572294766e-1,8.935958089762781331e-3,-4.779141442743184420e-2,1.979397490337086341e0,3.870979024843083649e-1,2.056297999110456021e-1,2.058056884231794774e-4
411,6.219500355152810016e2,3.074327421534271410e-1,6.995489554166896100e-3,-3.742958009984605205e-2,1.979665979793187924e0,3.870979024777152500e-1,2.056297998879299815e-1,2.063104362971901571e-4
412,6.234694602420115643e2,3.070003847917644468e-1,1.920842076424662467e-2,-1.026279071133447685e-1,1.976885703417337714e0,3.870979025461830370e-1,2.056298001279554810e-1,2.067951294621257134e-4
413,6.249821810378854252e2,3.070533948380152478e-1,1.815842923510032833e-2,-9.702584576929217108e-2,1.977226610687847108e0,3.870979025377758731e-1,2.056298000984856933e-1,2.072986108231605451e-4
414,6.264949334850324476e2,3.071005307588217104e-1,1.717088938347230073e-2,-9.175630860973033043e-2,1.977529749498316169e0,3.870979025303010745e-1,2.056298000722837083e-1,2.078020043203250903e-4
415,6.280076680739828134e2,3.071465777149579579e-1,1.614789930750052532e-2,-8.629698766894457196e-2,1.977825889213486565e0,3.870979025230000814e-1,2.056298000466913467e-1,2.083054484361369842e-4
416,6.295204128229954676e2,3.071889787801815874e-1,1.514540708588517186e-2,-8.094366308355052664e-2,1.978098583050058590e0,3.870979025162786247e-1,2.056298000231289724e-1,2.088088647058490761e-4
417,6.310331720941375124e2,3.072275662384654216e-1,1.417096737900450966e-2,-7.574254962071379216e-2,1.978346749374960023e0,3.870979025101635163e-1,2.056298000016911209e-1,2.093122408341027598e-4
418,6.325458677395741915e2,3.072680584706490858e-1,1.307051558323179576e-2,-6.986834668414942939e-2,1.978607160068270643e0,3.870979025037487031e-1,2.056297999792020548e-1,2.098157958239039512e-4
419,6.340585865631506977e2,3.073037972376307936e-1,1.201577538954030910e-2,-6.423782307302594585e-2,1.978836992777103010e0,3.870979024980892857e-1,2.056297999593613979e-1,2.103192863883772228e-4
420,6.355771059949659048e2,3.068189450742497271e-1,2.243202147953357595e-2,-1.198264438225612877e-1,1.975719096081527404e0,3.870979025749451408e-1,2.056298002287661186e-1,2.108065402171538480e-4
421,6.370898120481198248e2,3.068827721724046165e-1,2.135349500806815737e-2,-1.140741753189268154e-1,1.976129508601758733e0,3.870979025648205729e-1,2.056298001932810038e-1,2.113100602514306160e-4
422,6.386025614455691084e2,3.069387544237415777e-1,2.036045752729114672e-2,-1.087770841152130574e-1,1.976489496429545412e0,3.870979025559410647e-1,2.056298001621582883e-1,2.118134600549879878e-4
423,6.401094479486465616e2,3.074173135156117453e-1,7.768148686770722650e-3,-4.155946600207249819e-2,1.979566864847936758e0,3.870979024801412538e-1,2.056297998964362050e-1,2.123332921334560312e-4
424,6.416221943364290610e2,3.074369684992155904e-1,6.768054922809902188e-3,-3.621617589265346826e-2,1.979693188386283831e0,3.870979024770423438e-1,2.056297998855710352e-1,2.128367073094474958e-4
425,6.431348877157030302e2,3.074555443564995216e-1,5.662411349628011445e-3,-3.031189633105212111e-2,1.979812540995244952e0,3.870979024741186825e-1,2.056297998753204015e-1,2.133402716045460781e-4
426,6.446476669491394205e2,3.074686884815098220e-1,4.726687397890947002e-3,-2.531493097830618544e-2,1.979896959708677073e0,3.870979024720553885e-1,2.056297998680861605e-1,2.138435949955009945e-4
427,6.461661187777697251e2,3.071941383558696725e-1,1.501829279454989542e-2,-8.026781080125598711e-2,1.978131854811647994e0,3.870979025154481223e-1,2.056298000202173293e-1,2.143310006402774411e-4
428,6.476788372351404632e2,3.072354478471505113e-1,1.396305339742372718e-2,-7.463552137667760211e-2,1.978397519773886337e0,3.870979025089028580e-1,2.056297999972716839e-1,2.148344912208932091e-4
429,6.491915600650146416e2,3.072734511844171790e-1,1.291629968205595599e-2,-6.904824288115110620e-2,1.978641917057584632e0,3.870979025028834508e-1,2.056297999761692030e-1,2.153379701078175247e-4
430,6.507042878094572416e2,3.073081866420507846e-1,1.187918208400143109e-2,-6.351181673324485244e-2,1.978865290106129882e0,3.870979024973842386e-1,2.056297999568897084e-1,2.158414357272103170e-4
431,6.522113905590749710e2,3.074988825615433408e-1,-2.941601272327720772e-4,1.498267693244195731e-3,1.980090205511551016e0,3.870979024674143232e-1,2.056297998518129555e-1,2.163606984209407054e-4
432,6.537298383559932518e2,3.073639196568818122e-1,9.993363188486184892e-3,-5.344076050936369393e-2,1.979223660466130408e0,3.870979024885675135e-1,2.056297999259791842e-1,2.168481015758420925e-4
433,6.552426246396182705e2,3.073876527819777160e-1,9.071859871085481350e-3,-4.852056733910399544e-2,1.979376246775731207e0,3.870979024848167915e-1,2.056297999128292031e-1,2.173514040971088698e-4
434,6.567553834883379977e2,3.074102874433899957e-1,8.095978565670330224e-3,-4.330978117086109469e-2,1.979521751309630817e0,3.870979024812430391e-1,2.056297999002987542e-1,2.178547839169171568e-4
435,6.582680759648512776e2,3.074328586063041491e-1,6.988625043713339417e-3,-3.739672063733277818e-2,1.979666818759169500e0,3.870979024776839972e-1,2.056297998878205968e-1,2.183583503820660113e-4
436,6.597808054876126107e2,3.074509485988889401e-1,5.954516874880139664e-3,-3.187470867942253372e-2,1.979783052885826233e0,3.870979024748363861e-1,2.056297998778363889e-1,2.188618131162083070e-4
437,6.612935080087620463e2,3.074668620568141164e-1,4.866859567523158098e-3,-2.606670074000083659e-2,1.979885260878194719e0,3.870979024723377182e-1,2.056297998690756745e-1,2.193653519236706635e-4
438,6.628062708687797340e2,3.074783434776323099e-1,3.898648931559738854e-3,-2.089632274524866329e-2,1.979958959941889418e0,3.870979024705415439e-1,2.056297998627776291e-1,2.198687214392178169e-4
439,6.643181317566084090e2,3.074971790483549960e-1,1.144485190284625069e-3,-6.186903148727149193e-3,1.980079582333051924e0,3.870979024676354796e-1,2.056297998525890847e-1,2.203746251721723460e-4
440,6.658309012939261038e2,3.074989329475996680e-1,1.894539012580526074e-4,-1.086459073069034886e-3,1.980090645161436624e0,3.870979024673898428e-1,2.056297998517269965e-1,2.208779762508972266e-4
441,6.673496446058888978e2,3.073335259117513929e-1,1.106160395189983818e-2,-5.914631631464728478e-2,1.979028292217074769e0,3.870979024933656198e-1,2.056297999428012835e-1,2.213645512506876110e-4
442,6.688623814091506574e2,3.073625855570162324e-1,1.004225608390714453e-2,-5.370395562066679340e-2,1.979215137525317747e0,3.870979024887703512e-1,2.056297999266906984e-1,2.218679922542596283e-4
443,6.703750974624496166e2,3.073898412511272271e-1,8.981734850772251158e-3,-4.804148410735031849e-2,1.979390364274744352e0,3.870979024844641292e-1,2.056297999115925534e-1,2.223714918779127385e-4
444,6.718936200755367736e2,3.069898872678978319e-1,1.940864765184750068e-2,-1.037012507770852937e-1,1.976818536263670101e0,3.870979025477988000e-1,2.056298001336192560e-1,2.228587186998371784e-4
445,6.734063286347184203e2,3.070446669835596443e-1,1.833449714772820982e-2,-9.797038234447948135e-2,1.977170803161219625e0,3.870979025391130257e-1,2.056298001031742206e-1,2.233622341518120419e-4
446,6.749131548316843237e2,3.074561786406091457e-1,5.619820342282994680e-3,-3.008988552742347666e-2,1.979816678708294475e0,3.870979024740099916e-1,2.056297998749394562e-1,2.238822477609731236e-4
447,6.764315114237417674e2,3.071648648479040622e-1,1.572222266781560240e-2,-8.403017815892037390e-2,1.977943769907476002e0,3.870979025200618762e-1,2.056298000363911416e-1,2.243699235683443939e-4
448,6.779379481824723825e2,3.074921756549192642e-1,2.233383758712183167e-3,-1.200443217625289660e-2,1.980047637911342084e0,3.870979024683931513e-1,2.056297998552454598e-1,2.248910441712678114e-4
449,6.794564962489588424e2,3.072803110852006525e-1,1.271791697986168236e-2,-6.799069397693544015e-2,1.978686168938857737e0,3.870979025017773356e-1,2.056297999722915826e-1,2.253781719218586491e-4
450,6.809692093242218789e2,3.073154072747310561e-1,1.165178278078721381e-2,-6.229908646490511792e-2,1.978911847617982778e0,3.870979024962232784e-1,2.056297999528195475e-1,2.258816787786465047e-4
451,6.824878057937128233e2,3.068316425713908946e-1,2.222085119613661716e-2,-1.187045217133381875e-1,1.975801113819000809e0,3.870979025728765177e-1,2.056298002215166676e-1,2.263687151306832256e-4
452,6.839945953037445179e2,3.073784361299540802e-1,9.439646819893997634e-3,-5.048838638654226663e-2,1.979317091897421443e0,3.870979024862586382e-1,2.056297999178838265e-1,2.268888066300716699e-4
453,6.855131691362906849e2,3.069601466729839356e-1,1.996718466643231452e-2,-1.066831107669710260e-1,1.976627394487529443e0,3.870979025524993178e-1,2.056298001500954931e-1,2.273758927730938802e-4
454,6.870259686211810504e2,3.070073236998126509e-1,1.907289504301597216e-2,-1.019122705500452447e-1,1.976930762831388799e0,3.870979025450190791e-1,2.056298001238759943e-1,2.278791535169616531e-4
455,6.885387202830579554e2,3.070569759443586011e-1,1.808393408895173776e-2,-9.663568538655460671e-2,1.977250054919849065e0,3.870979025371475979e-1,2.056298000962843708e-1,2.283825486180570536e-4
456,6.900514527369467714e2,3.071057416026684028e-1,1.705685684821255099e-2,-9.115503983504746888e-2,1.977563651405644940e0,3.870979025294180031e-1,2.056298000691890449e-1,2.288859981307019931e-4
457,6.915641768090107462e2,3.071523781884921145e-1,1.601359752651095730e-2,-8.558454787447471179e-2,1.977863559422899042e0,3.870979025220274150e-1,2.056298000432816298e-1,2.293894717730727379e-4
458,6.930711902630669101e2,3.074807142195281062e-1,3.666932695079151705e-3,-1.966009638107020507e-2,1.979974208457253582e0,3.870979024701660665e-1,2.056297998614606271e-1,2.299089709651914364e-4
459,6.945839417732231595e2,3.074892267864558493e-1,2.676250624830183496e-3,-1.436935913850274915e-2,1.980028774037967620e0,3.870979024688451231e-1,2.056297998568298868e-1,2.304123725253095253e-4
460,6.960966905237480660e2,3.074951173328682730e-1,1.680069305972657981e-3,-9.049239609356621306e-3,1.980066453709002250e0,3.870979024679427338e-1,2.056297998536659455e-1,2.309157819321411818e-4
461,6.976153330280033060e2,3.072927086644712258e-1,1.235126758108928344e-2,-6.603635373314616086e-2,1.978765968730727742e0,3.870979024998036366e-1,2.056297999653719510e-1,2.314026433356836262e-4
462,6.991335895809572776e2,3.068300007200518431e-1,2.224759613281262691e-2,-1.188502155299844959e-1,1.975790691103417762e0,3.870979025731174361e-1,2.056298002223610755e-1,2.318906331421586599e-4
463,7.006404429556131390e2,3.073744819835198538e-1,9.592813686130187770e-3,-5.130947248141576322e-2,1.979291729410149969e0,3.870979024868747009e-1,2.056297999200441540e-1,2.324105452246125344e-4
464,7.021531221271790173e2,3.074021310533638363e-1,8.459243129714060644e-3,-4.525681148724912395e-2,1.979469460490542954e0,3.870979024825099701e-1,2.056297999047413394e-1,2.329141485392633001e-4
465,7.036658241363066963e2,3.074254158012512117e-1,7.370796967353526914e-3,-3.944476161174190199e-2,1.979619107686590773e0,3.870979024788391842e-1,2.056297998918713843e-1,2.334176881279278538e-4
466,7.051854457295802376e2,3.069598266875949721e-1,1.997292640827215068e-2,-1.067147559153541619e-1,1.976625478645363643e0,3.870979025525293493e-1,2.056298001502010198e-1,2.339018331067472807e-4
467,7.066977713728617800e2,3.070541389925944831e-1,1.814187016860341339e-2,-9.694496101838238900e-2,1.977231930876627519e0,3.870979025375800853e-1,2.056298000978000751e-1,2.344064192758544239e-4
468,7.082044316830180151e2,3.074637288517669820e-1,5.098555351065145111e-3,-2.730820774971841336e-2,1.979865226511358323e0,3.870979024728165019e-1,2.056297998707546093e-1,2.349268998870433474e-4
469,7.097172015426134521e2,3.074756621179569049e-1,4.144231430214492459e-3,-2.221192252150380742e-2,1.979941821936838542e0,3.870979024709502725e-1,2.056297998642103997e-1,2.354302497046188128e-4
470,7.112299492561289753e2,3.074855155763603354e-1,3.145988999430254004e-3,-1.688115705396549260e-2,1.980005013761206856e0,3.870979024694167769e-1,2.056297998588346165e-1,2.359336618725525259e-4
471,7.127486807345100033e2,3.072342931277246558e-1,1.399212739705385858e-2,-7.479879811126453892e-2,1.978390421651455844e0,3.870979025090379722e-1,2.056297999977463042e-1,2.364202782980353765e-4
472,7.142614469380980609e2,3.072693709459861644e-1,1.303124253325899616e-2,-6.966971270058862353e-2,1.978615983441952331e0,3.870979025034851362e-1,2.056297999782792374e-1,2.369236355711816706e-4
473,7.157741366287436904e2,3.073068649971436583e-1,1.191886256608415580e-2,-6.373135547966027326e-2,1.978857070170626065e0,3.870979024975527705e-1,2.056297999574814850e-1,2.374272078612407137e-4
474,7.172868632299903311e2,3.073388802965126287e-1,1.087995061372354702e-2,-5.818191623570877213e-2,1.979062914575535181e0,3.870979024924903200e-1,2.056297999397325438e-1,2.379306771383092579e-4
475,7.188051171624299513e2,3.069157314677884996e-1,2.077328112686556427e-2,-1.109864141877105748e-1,1.976342053659066345e0,3.870979025595044920e-1,2.056298001746493520e-1,2.384186654660491072e-4
