# REBOUND parity — Kepler e=0.5 — REBOUND IAS15 side
# protocol: paper/notebooks/2026-04-25-rebound-parity-kepler.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# a=1.0, e=0.5, m_primary=1.0, m_secondary=1.000000e-06
# period=6.283185307179586232e+00, dt0=1.005309649148733858e-01, n_orbits=100
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
54,2.872640848200727515e+00,1.483905431547591131e-06,-1.547141194178345764e-07,1.197416789673278892e-07,5.711266535585862943e-07,-1.483905431547591247e+00,1.547141194178339452e-01,-1.197416789673279025e-01,-5.711266535585866055e-01,-5.000014999984999234e-07
55,2.991770984444441783e+00,1.495004005799849297e-06,-8.639480620189986989e-08,6.661785984844014634e-08,5.754287154466728810e-07,-1.495004005799849267e+00,8.639480620189921023e-02,-6.661785984844015296e-02,-5.754287154466730669e-01,-5.000014999984999234e-07
56,2.991770984444441783e+00,1.495004005799849297e-06,-8.639480620189986989e-08,6.661785984844014634e-08,5.754287154466728810e-07,-1.495004005799849267e+00,8.639480620189921023e-02,-6.661785984844015296e-02,-5.754287154466730669e-01,-5.000014999984999234e-07
57,2.991770984444441783e+00,1.495004005799849297e-06,-8.639480620189986989e-08,6.661785984844014634e-08,5.754287154466728810e-07,-1.495004005799849267e+00,8.639480620189921023e-02,-6.661785984844015296e-02,-5.754287154466730669e-01,-5.000014999984999234e-07
58,3.114847823080561184e+00,1.499833731584071237e-06,-1.543156794481269006e-08,1.187991465857989907e-08,5.772908875115952389e-07,-1.499833731584071517e+00,1.543156794481200661e-02,-1.187991465857991813e-02,-5.772908875115955185e-01,-5.000014999984999234e-07
59,3.114847823080561184e+00,1.499833731584071237e-06,-1.543156794481269006e-08,1.187991465857989907e-08,5.772908875115952389e-07,-1.499833731584071517e+00,1.543156794481200661e-02,-1.187991465857991813e-02,-5.772908875115955185e-01,-5.000014999984999234e-07
60,3.240627420623968469e+00,1.497811997035193247e-06,5.715926872206422935e-08,-4.403345067184472181e-08,5.765121080654741536e-07,-1.497811997035193299e+00,-5.715926872206493481e-02,4.403345067184471356e-02,-5.765121080654743713e-01,-5.000014999984999234e-07
61,3.240627420623968469e+00,1.497811997035193247e-06,5.715926872206422935e-08,-4.403345067184472181e-08,5.765121080654741536e-07,-1.497811997035193299e+00,-5.715926872206493481e-02,4.403345067184471356e-02,-5.765121080654743713e-01,-5.000014999984999234e-07
62,3.366975421264374102e+00,1.488695443860696141e-06,1.298069049205705095e-07,-1.003036142356338577e-07,5.729872913480706313e-07,-1.488695443860696299e+00,-1.298069049205712311e-01,1.003036142356338589e-01,-5.729872913480709151e-01,-5.000014999985000293e-07
63,3.366975421264374102e+00,1.488695443860696141e-06,1.298069049205705095e-07,-1.003036142356338577e-07,5.729872913480706313e-07,-1.488695443860696299e+00,-1.298069049205712311e-01,1.003036142356338589e-01,-5.729872913480709151e-01,-5.000014999985000293e-07
64,3.366975421264374102e+00,1.488695443860696141e-06,1.298069049205705095e-07,-1.003036142356338577e-07,5.729872913480706313e-07,-1.488695443860696299e+00,-1.298069049205712311e-01,1.003036142356338589e-01,-5.729872913480709151e-01,-5.000014999985000293e-07
65,3.429203452566660815e+00,1.481589344838526854e-06,1.653803796744676008e-07,-1.280963058183213682e-07,5.702248460332805428e-07,-1.481589344838526889e+00,-1.653803796744683363e-01,1.280963058183213488e-01,-5.702248460332807189e-01,-5.000014999985000293e-07
66,3.546888131825483015e+00,1.463412078431283574e-06,2.320924928098727608e-07,-1.808712306274789825e-07,5.630982749750495286e-07,-1.463412078431283625e+00,-2.320924928098735129e-01,1.808712306274790071e-01,-5.630982749750497174e-01,-5.000014999984999234e-07
67,3.546888131825483015e+00,1.463412078431283574e-06,2.320924928098727608e-07,-1.808712306274789825e-07,5.630982749750495286e-07,-1.463412078431283625e+00,-2.320924928098735129e-01,1.808712306274790071e-01,-5.630982749750497174e-01,-5.000014999984999234e-07
68,3.665314676804440452e+00,1.438829520501085454e-06,2.982257494698072767e-07,-2.343533630582590592e-07,5.533202183119990052e-07,-1.438829520501085479e+00,-2.982257494698080658e-01,2.343533630582590455e-01,-5.533202183119991791e-01,-5.000014999985000293e-07
69,3.665314676804440452e+00,1.438829520501085454e-06,2.982257494698072767e-07,-2.343533630582590592e-07,5.533202183119990052e-07,-1.438829520501085479e+00,-2.982257494698080658e-01,2.343533630582590455e-01,-5.533202183119991791e-01,-5.000014999985000293e-07
70,3.665314676804440452e+00,1.438829520501085454e-06,2.982257494698072767e-07,-2.343533630582590592e-07,5.533202183119990052e-07,-1.438829520501085479e+00,-2.982257494698080658e-01,2.343533630582590455e-01,-5.533202183119991791e-01,-5.000014999985000293e-07
71,3.778843510212705592e+00,1.409292211086065127e-06,3.603890150473805218e-07,-2.860781202952876905e-07,5.413527824357018304e-07,-1.409292211086065283e+00,-3.603890150473813003e-01,2.860781202952877300e-01,-5.413527824357020624e-01,-5.000014999984999234e-07
72,3.778843510212705592e+00,1.409292211086065127e-06,3.603890150473805218e-07,-2.860781202952876905e-07,5.413527824357018304e-07,-1.409292211086065283e+00,-3.603890150473813003e-01,2.860781202952877300e-01,-5.413527824357020624e-01,-5.000014999984999234e-07
73,3.887220681912320064e+00,1.375589645323062000e-06,4.183262278962411537e-07,-3.359608131234442886e-07,5.273974360943680872e-07,-1.375589645323062049e+00,-4.183262278962420200e-01,3.359608131234442796e-01,-5.273974360943682882e-01,-5.000014999985000293e-07
74,3.887220681912320064e+00,1.375589645323062000e-06,4.183262278962411537e-07,-3.359608131234442886e-07,5.273974360943680872e-07,-1.375589645323062049e+00,-4.183262278962420200e-01,3.359608131234442796e-01,-5.273974360943682882e-01,-5.000014999985000293e-07
75,3.990545120599299889e+00,1.338396884558311702e-06,4.720254675850941425e-07,-3.840544017084015310e-07,5.116122288477081339e-07,-1.338396884558311850e+00,-4.720254675850949488e-01,3.840544017084015493e-01,-5.116122288477084057e-01,-5.000014999984999234e-07
76,3.990545120599299889e+00,1.338396884558311702e-06,4.720254675850941425e-07,-3.840544017084015310e-07,5.116122288477081339e-07,-1.338396884558311850e+00,-4.720254675850949488e-01,3.840544017084015493e-01,-5.116122288477084057e-01,-5.000014999984999234e-07
77,4.089086616795769125e+00,1.298269116374515526e-06,5.215986643410646286e-07,-4.304744951267700374e-07,4.941107679096627206e-07,-1.298269116374515475e+00,-5.215986643410654988e-01,4.304744951267700515e-01,-4.941107679096629068e-01,-5.000014999984999234e-07
78,4.089086616795769125e+00,1.298269116374515526e-06,5.215986643410646286e-07,-4.304744951267700374e-07,4.941107679096627206e-07,-1.298269116374515475e+00,-5.215986643410654988e-01,4.304744951267700515e-01,-4.941107679096629068e-01,-5.000014999984999234e-07
79,4.183067031035520245e+00,1.255710932805497792e-06,5.671564294095618913e-07,-4.753019881745133903e-07,4.749923550472842510e-07,-1.255710932805498059e+00,-5.671564294095627901e-01,4.753019881745134123e-01,-4.749923550472844869e-01,-5.000014999984999234e-07
80,4.272735012517761000e+00,1.211153557499060511e-06,6.088402673108090588e-07,-5.186204983693434503e-07,4.543326694365913401e-07,-1.211153557499060618e+00,-6.088402673108099794e-01,5.186204983693434301e-01,-4.543326694365915630e-01,-5.000014999985000293e-07
81,4.272735012517761000e+00,1.211153557499060511e-06,6.088402673108090588e-07,-5.186204983693434503e-07,4.543326694365913401e-07,-1.211153557499060618e+00,-6.088402673108099794e-01,5.186204983693434301e-01,-4.543326694365915630e-01,-5.000014999985000293e-07
82,4.358367268319170762e+00,1.164952733302782753e-06,6.468150760696677681e-07,-5.605199127792862902e-07,4.321814330491584633e-07,-1.164952733302782928e+00,-6.468150760696687041e-01,5.605199127792862557e-01,-4.321814330491586809e-01,-5.000014999984998176e-07
83,4.358367268319170762e+00,1.164952733302782753e-06,6.468150760696677681e-07,-5.605199127792862902e-07,4.321814330491584633e-07,-1.164952733302782928e+00,-6.468150760696687041e-01,5.605199127792862557e-01,-4.321814330491586809e-01,-5.000014999984998176e-07
84,4.440156577816733119e+00,1.117454418141214503e-06,6.812152505986276009e-07,-6.010431510756562244e-07,4.085928728217145206e-07,-1.117454418141214489e+00,-6.812152505986286410e-01,6.010431510756563123e-01,-4.085928728217147476e-01,-5.000014999984999234e-07
85,4.518377815251378493e+00,1.068908947382535325e-06,7.122141426232286179e-07,-6.402687349042908015e-07,3.835829278648328956e-07,-1.068908947382535501e+00,-7.122141426232295736e-01,6.402687349042908149e-01,-3.835829278648331120e-01,-5.000014999984999234e-07
86,4.518377815251378493e+00,1.068908947382535325e-06,7.122141426232286179e-07,-6.402687349042908015e-07,3.835829278648328956e-07,-1.068908947382535501e+00,-7.122141426232295736e-01,6.402687349042908149e-01,-3.835829278648331120e-01,-5.000014999984999234e-07
