# REBOUND parity — Pythagorean three-body (Burrau 1913) — apsis IAS15 side
# protocol: paper/notebooks/2026-04-30-rebound-parity-pythagorean.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# masses=(3,4,5), horizon=7.000000000000000000e1
# samples_per_t_unit=30, dt0=1.000000000000000021e-3
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
860,2.866774097290140588e1,4.897794203778818578e-1,-6.578798126440699168e-2,-1.752161623710539295e0,3.216275765213196358e0,-1.541400618148767387e0,-2.428853775483049149e-1,3.440456998591598370e-2,-5.891566265631789090e-1,9.392528422922771236e-1,2.337810907972981689e-1,1.023773318237590546e0,-1.458440157877374022e0,-1.281666666407703303e1
861,2.870028164689952987e1,4.402975802506338132e-1,4.299234565442348888e-2,-1.278461842693300765e0,3.440858092067534457e0,-1.539490762931264412e0,-2.619389750313026455e-1,8.303172555814648803e-2,-5.816987718725916690e-1,9.674140621946235585e-1,1.837557726323980900e-1,7.006517251694630577e-1,-1.599155837742446629e0,-1.281666666407702593e1
862,2.873373286374262747e1,4.059381316970459563e-1,1.594000720480158451e-1,-7.837407589483671444e-1,3.489957906101044394e0,-1.535875028116251872e0,-2.812504524960345309e-1,1.331257574673606059e-1,-5.726726510146302740e-1,9.851371434747661082e-1,1.293603187680281985e-1,3.637438493951316021e-1,-1.635836622848921618e0,-1.281666666407701882e1
863,2.877008369843664326e1,3.858968430138354222e-1,2.847313745303893251e-1,-3.398655462265854910e-1,3.385629420667374045e0,-1.530052010622640957e0,-3.018661929902671237e-1,1.871364627209896048e-1,-5.613469208358211615e-1,9.925035026898036961e-1,7.065412967399019306e-2,5.421015755915942896e-2,-1.582300115731766654e0,-1.281666666407702238e1
864,2.880403440535219772e1,3.797498002419079088e-1,3.969016894605982837e-1,-3.991630459106580708e-2,3.215890312438203669e0,-1.522853152810902166e0,-3.207274999142431526e-1,2.367932694722986176e-1,-5.495888688268708577e-1,9.904326421035691830e-1,1.844098625504568892e-2,-1.654848328231995902e-1,-1.489863092401424893e0,-1.281666666407702593e1
865,2.883462132216463658e1,3.815926935959372268e-1,4.926794925873381747e-1,1.493280218253398572e-1,3.046260451175545114e0,-1.514936351035538920e0,-3.373661892377343152e-1,2.807381673236798436e-1,-5.382790035211981738e-1,9.829934646708609058e-1,-2.571474416220532327e-2,-3.141873469541479613e-1,-1.397133067888367775e0,-1.281666666407702593e1
866,2.886891806117766279e1,3.893709262176843766e-1,5.939402339405130959e-1,2.943387584058698714e-1,2.860600852539491257e0,-1.504475575838674084e0,-3.556019783249749766e-1,3.291289886400183828e-1,-5.250589758078078040e-1,9.699579049403209696e-1,-7.188255770431767333e-2,-4.399064459555367956e-1,-1.296313330877447934e0,-1.281666666407702593e1
867,2.890781476107224890e1,4.030367668797350533e-1,7.013858663194139087e-1,3.999192912494892171e-1,2.667614193652657839e0,-1.490622169245736428e0,-3.757266492459546137e-1,3.830362383317758579e-1,-5.096679799663861310e-1,9.506756752687403056e-1,-1.202502003948744125e-1,-5.463805654151143720e-1,-1.192834132218484999e0,-1.281666666407702593e1
868,2.894068895820610621e1,4.171813641390256788e-1,7.866354939826362136e-1,4.566314729640426062e-1,2.521350354209384470e0,-1.477290009455370923e0,-3.922655207824395918e-1,4.279913066371877628e-1,-4.965126353380533430e-1,9.315231890808736148e-1,-1.581688797636197907e-1,-6.163719290881759516e-1,-1.115600104255187297e0,-1.281666666407702415e1
869,2.897734634358957351e1,4.347140278955144432e-1,8.763351319801784278e-1,4.965809302607508968e-1,2.375460047791359663e0,-1.460688520986690664e0,-4.101970373610929199e-1,4.777276923939571818e-1,-4.818228900667418380e-1,9.077224000520360825e-1,-1.976434492992224512e-1,-6.801307120716164611e-1,-1.039817716621421528e0,-1.281666666407702238e1
870,2.900412818828389661e1,4.482755233294262176e-1,9.386462819222282095e-1,5.148872813316477393e-1,2.279123976990075739e0,-1.447408769202628731e0,-4.229578633257334297e-1,5.139692897293818286e-1,-4.711319916760774995e-1,8.889617013644394161e-1,-2.248214784927399235e-1,-7.201078005824942396e-1,-9.905687928531826669e-1,-1.281666666407702593e1
871,2.904823420932607192e1,4.714000982364873193e-1,1.035959004662716287e0,5.313121386455963435e-1,2.136666905498922908e0,-1.423421065369892213e0,-4.433518201358422894e-1,5.738301426997721721e-1,-4.536731737886819937e-1,8.558967933540135853e-1,-2.668939466889456158e-1,-7.778513973471756771e-1,-9.190616042684073284e-1,-1.281666666407702238e1
872,2.908052033513872914e1,4.886390061019035835e-1,1.103414132044687745e0,5.356988289061711539e-1,2.043317281680534503e0,-1.404181586276712190e0,-4.577948866989672849e-1,6.180620474035267709e-1,-4.410412492288077191e-1,8.301618653602198528e-1,-2.958125698676284387e-1,-8.158689352665242644e-1,-8.731573696252739047e-1,-1.281666666407702593e1
873,2.911535493968756327e1,5.073078331321143608e-1,1.172965838674997929e0,5.354218233921989034e-1,1.951336442532056292e0,-1.381810998850583116e0,-4.729232550578871264e-1,6.664681198857542732e-1,-4.275693298247477681e-1,8.010640992011901496e-1,-3.254408991586786870e-1,-8.544275899439229827e-1,-8.287464016594349170e-1,-1.281666666407702948e1
874,2.913381260430985975e1,5.171758289016543664e-1,1.208559744255882862e0,5.336753568218366439e-1,1.905828138638649527e0,-1.369269748738580539e0,-4.807498635783151730e-1,6.925031716391958359e-1,-4.204990977975318067e-1,7.851103016498640619e-1,-3.405359556908671981e-1,-8.742077514044588327e-1,-8.070976049451634715e-1,-1.281666666407702593e1
875,2.917300092133439193e1,5.379738701924480226e-1,1.281452435478798613e0,5.272118919617148070e-1,1.815683983188368655e0,-1.341031697277238255e0,-4.969367505311118594e-1,7.489296077788082373e-1,-4.056436775703246567e-1,7.500410357063139744e-1,-3.713220608623792884e-1,-9.154708214000756294e-1,-7.648954478567606685e-1,-1.281666666407702770e1
