# REBOUND parity — Pythagorean three-body (Burrau 1913) — REBOUND IAS15 side
# protocol: docs/experiments/2026-04-30-rebound-parity-pythagorean.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# masses=(3.0,4.0,5.0), horizon=7.000172558629316200e+01
# samples_per_t_unit=30, dt0=1.712500046072987919e-02
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
1575,5.251601464958422838e+01,-3.031211832403121864e+00,-4.501619134536372080e+00,-3.379815695455961038e-03,-9.361102446562712120e-02,1.745765627170370982e+00,1.100748860759340531e+00,8.464936462098427983e-01,-6.312717041094327852e-01,4.221145977057242926e-01,1.820372392114304017e+00,-6.751670275505960994e-01,5.611839779669208772e-01,-1.281666666943274890e+01
1576,5.253352125281619323e+01,-3.031256593625600182e+00,-4.503236390862714877e+00,-1.734231182438075638e-03,-9.114899851264386677e-02,1.760287259540467719e+00,1.089850250861210457e+00,8.127439327497895105e-01,-6.139232153609562870e-01,4.105241485431340154e-01,1.830061633828613532e+00,-6.491546074903643548e-01,5.458279713963498647e-01,-1.281666666943274535e+01
1577,5.257103966818320373e+01,-3.031255619262569923e+00,-4.506557304130737407e+00,1.784380528222925593e-03,-8.588140133140451105e-02,1.789491405171381722e+00,1.067484190834869340e+00,7.450246973999847810e-01,-5.787824872837564749e-01,3.871602474205848021e-01,1.849947029810499632e+00,-5.970903862369171256e-01,5.145548306258463933e-01,-1.281666666943274535e+01
1578,5.261208704512066703e+01,-3.031103570820843807e+00,-4.509964454089196551e+00,5.622053906920884865e-03,-8.013141494515674257e-02,1.818657101072104876e+00,1.044468918983205930e+00,6.770034915147293830e-01,-5.430459091751587142e-01,3.637364616349706425e-01,1.870403537266906335e+00,-5.449760255559314981e-01,4.825155763072194182e-01,-1.281666666943274535e+01
1579,5.263404224020993638e+01,-3.030957650922999846e+00,-4.511690044915093623e+00,7.669922404738115443e-03,-7.706121371810903398e-02,1.833142940231314633e+00,1.032746399550672933e+00,6.428118421076252087e-01,-5.249179448297968120e-01,3.520602383688968273e-01,1.880816907308470842e+00,-5.188514271289386137e-01,4.661710840947013157e-01,-1.281666666943274890e+01
1580,5.268111387169945203e+01,-3.030493471861277044e+00,-4.515162733200729583e+00,1.204999882642697473e-02,-7.049047235227533237e-02,1.861755970691603146e+00,1.008916099484724382e+00,5.738259557003960731e-01,-4.880096513160110394e-01,3.288913065636325239e-01,1.901964760332611082e+00,-4.662907638561685775e-01,4.327020044641724517e-01,-1.281666666943274535e+01
1581,5.270632629228936850e+01,-3.030160149491694099e+00,-4.516895671653761823e+00,1.439050781578662258e-02,-6.697726320463211203e-02,1.875781392570883277e+00,9.968506379786538085e-01,5.389778711470212258e-01,-4.691966829042638620e-01,3.174709756384586079e-01,1.912656892609286841e+00,-4.398166016070844675e-01,4.155437042461888053e-01,-1.281666666943274535e+01
1582,5.276042795795699902e+01,-3.029245992115904951e+00,-4.520315606011275023e+00,1.940094930556918867e-02,-5.945187443465521637e-02,1.903006262945484472e+00,9.725182248794990159e-01,4.683274510210300168e-01,-4.307071888223233391e-01,2.951425849133045287e-01,1.934174783703118239e+00,-3.863025304001610483e-01,3.802368757186502246e-01,-1.281666666943274535e+01
1583,5.278945679087713216e+01,-3.028643863975706285e+00,-4.521982907219893377e+00,2.208320790192976057e-02,-5.542096630654377853e-02,1.916077002312013722e+00,9.603032408265945730e-01,4.324193524732583005e-01,-4.109649172727410371e-01,2.843247165359620299e-01,1.944947151670612939e+00,-3.591854067197600142e-01,3.620245136021175147e-01,-1.281666666943274535e+01
1584,5.281987511411301739e+01,-3.027929435411869541e+00,-4.523604538715422230e+00,2.488967337657752368e-02,-5.120182172542720594e-02,1.928674621949383106e+00,9.481095740361596969e-01,3.960791331486089306e-01,-3.908602226542963187e-01,2.738179636877646206e-01,1.955675064000278018e+00,-3.317971105448291880e-01,3.434092711586917979e-01,-1.281666666943274890e+01
1585,5.285177097779124011e+01,-3.027088682798289021e+00,-4.525167173364340378e+00,2.782823649155811638e-02,-4.678247950802678912e-02,1.940717021125136554e+00,9.359713806963789740e-01,3.592298974331731842e-01,-3.703441194566512440e-01,2.636795927790136496e-01,1.966323199461453397e+00,-3.040808598414689312e-01,3.243447832701354949e-01,-1.281666666943274713e+01
1586,5.288522260868659686e+01,-3.026106294819463471e+00,-4.526654667228854123e+00,3.090591351616956556e-02,-4.215229299268209023e-02,1.952104620718944528e+00,9.239349921329003124e-01,3.218057608420170079e-01,-3.493720545815900969e-01,2.539800803166720744e-01,1.976844806630944751e+00,-2.759881567833109006e-01,3.047890194608797731e-01,-1.281666666943274713e+01
1587,5.292033085976980544e+01,-3.024964602050648654e+00,-4.528049324446701718e+00,3.413184934361516987e-02,-3.729741381960718916e-02,1.962730656902492266e+00,9.120478336336919067e-01,2.837135956983051766e-01,-3.278822721795454087e-01,2.447942357085451659e-01,1.987191327761019810e+00,-2.474499861648087606e-01,2.846842660353990917e-01,-1.281666666943274535e+01
1588,5.295723503143811683e+01,-3.023642486747012192e+00,-4.529331657921542131e+00,3.751877684799691942e-02,-3.219859101449515371e-02,1.972479801043615755e+00,9.003567548289802547e-01,2.448181344162108641e-01,-3.057865626601631859e-01,2.362016512134646473e-01,1.997313590889693291e+00,-2.183657736417623507e-01,2.639484047368260700e-01,-1.281666666943274713e+01
1589,5.299598122890448337e+01,-3.022119948495364916e+00,-4.530475586887319217e+00,4.107096218648687014e-02,-2.684932038008207289e-02,1.981192311970174869e+00,8.889506067915072807e-01,2.050778364266672149e-01,-2.830470981144486697e-01,2.283181195212291015e-01,2.007124866699137922e+00,-1.887048464532214143e-01,2.425472707196065780e-01,-1.281666666943274713e+01
1590,5.303670995259951582e+01,-3.020371200882931539e+00,-4.531454678500873356e+00,4.480145194912914242e-02,-2.122988067600720119e-02,1.988712019159030175e+00,8.779020249205325976e-01,1.643442768614197802e-01,-2.595619451581612780e-01,2.212531052026851519e-01,2.016551187164050241e+00,-1.583562926586088160e-01,2.203874845321317777e-01,-1.281666666943274535e+01
1591,5.303670995259951582e+01,-3.020371200882931539e+00,-4.531454678500873356e+00,4.480145194912914242e-02,-2.122988067600720119e-02,1.988712019159030175e+00,8.779020249205325976e-01,1.643442768614197802e-01,-2.595619451581612780e-01,2.212531052026851519e-01,2.016551187164050241e+00,-1.583562926586088160e-01,2.203874845321317777e-01,-1.281666666943274535e+01
1592,5.307955537354660436e+01,-3.018367647450959979e+00,-4.532237693598918149e+00,4.872285599002039447e-02,-1.532120462305252770e-02,1.994853052406194482e+00,8.673035500493039285e-01,1.224678653344015711e-01,-2.352239084892372711e-01,2.151381465457709308e-01,2.025499776119860318e+00,-1.272080058615290277e-01,1.973718495652197757e-01,-1.281666666943274890e+01
1593,5.312469770713171613e+01,-3.016074973270929327e+00,-4.532788849709484147e+00,5.285218728561496410e-02,-9.097583885269693721e-03,1.999402772077790491e+00,8.572578627858374878e-01,7.924256358635567432e-02,-2.098872577352528523e-01,2.101227663004757162e-01,2.033867019596972803e+00,-9.510536324044903400e-02,1.733683565193625264e-01,-1.281666666943274713e+01
1594,5.317237548975756312e+01,-3.013451160825512787e+00,-4.533065917817259205e+00,5.721203645440953167e-02,-2.524887500895869885e-03,2.002108805198723029e+00,8.478840657110049417e-01,3.439219104990305642e-02,-1.833571705776782246e-01,2.063836523364802611e-01,2.041532298121503164e+00,-6.184097471256368161e-02,1.482006689626785279e-01,-1.281666666943274713e+01
1595,5.317237548975756312e+01,-3.013451160825512787e+00,-4.533065917817259205e+00,5.721203645440953167e-02,-2.524887500895869885e-03,2.002108805198723029e+00,8.478840657110049417e-01,3.439219104990305642e-02,-1.833571705776782246e-01,2.063836523364802611e-01,2.041532298121503164e+00,-6.184097471256368161e-02,1.482006689626785279e-01,-1.281666666943274713e+01
1596,5.322301722516238698e+01,-3.010436593799023619e+00,-4.533016986458479280e+00,6.184269094546683554e-02,4.457729613999981619e-03,2.002659162427411488e+00,8.393090147286691449e-01,-1.255602868660622706e-02,-1.553103650122246160e-01,2.041346263376360159e-01,2.048362980092103935e+00,-2.706079161799064894e-02,1.215736542413781290e-01,-1.281666666943274357e+01
1597,5.327718625105310224e+01,-3.006952454088902549e+00,-4.532573142797788890e+00,6.679724109373545715e-02,1.193048413598904456e-02,2.000631708557014221e+00,8.317081167911667405e-01,-6.222636378971815874e-02,-1.253137951358346824e-01,2.036661056078814258e-01,2.054177392245692069e+00,9.702746375537720652e-03,9.309274562707273160e-02,-1.281666666943274535e+01
1598,5.327718625105310224e+01,-3.006952454088902549e+00,-4.532573142797788890e+00,6.679724109373545715e-02,1.193048413598904456e-02,2.000631708557014221e+00,8.317081167911667405e-01,-6.222636378971815874e-02,-1.253137951358346824e-01,2.036661056078814258e-01,2.054177392245692069e+00,9.702746375537720652e-03,9.309274562707273160e-02,-1.281666666943274535e+01
