# REBOUND parity — Kepler e=0.5 — apsis IAS15 side
# protocol: paper/notebooks/2026-04-25-rebound-parity-kepler.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# a=1, e=0.5, m_primary=1, m_secondary=1e-6
# period=6.283185307179586232e0, dt0=6.283185307179586614e-3, n_orbits=100
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
15,9.426526064747844202e1,-4.993552774782610726e-7,-3.108087165881623172e-8,7.173205893811990115e-8,-1.729818859992219957e-6,4.993552774782654691e-1,3.108087165880322675e-2,-7.173205893811983314e-2,1.729818859992219959e0,-5.000014999984999234e-7
16,1.005452682636199739e2,-4.995612247569487708e-7,-2.563722852253337754e-8,5.918076494935632381e-8,-1.730531510650540517e-6,4.995612247569535813e-1,2.563722852251926199e-2,-5.918076494935628484e-2,1.730531510650540339e0,-5.000014999984997117e-7
17,1.068156592752460057e2,-4.999911513686261566e-7,-3.538766802487075661e-9,8.172371808470168723e-9,-1.732020155252106069e-6,4.999911513686312592e-1,3.538766802471816474e-3,-8.172371808470135779e-3,1.732020155252105953e0,-5.000014999984994999e-7
18,1.131047526152482163e2,-4.998720706860503984e-7,-1.382502841525019344e-8,3.192349945437921520e-8,-1.731607703669419837e-6,4.998720706860557139e-1,1.382502841523384693e-2,-3.192349945437918113e-2,1.731607703669419740e0,-5.000014999984992882e-7
19,1.193847422982344710e2,-4.999530685808150302e-7,-8.345380357683833832e-9,1.927195483435027729e-8,-1.731888239831712553e-6,4.999530685808206143e-1,8.345380357666085450e-3,-1.927195483435018009e-2,1.731888239831712362e0,-5.000014999984992882e-7
20,1.256646614576020369e2,-4.999944842565131077e-7,-2.742914883049502882e-9,6.334465146825208896e-9,-1.732031700560125846e-6,4.999944842565192116e-1,2.742914883030088229e-3,-6.334465146825118964e-3,1.732031700560125786e0,-5.000014999984997117e-7
21,1.319623419074984554e2,-4.994806480672932121e-7,-2.789398568416044277e-8,6.438505874705015997e-8,-1.730252651776053552e-6,4.994806480672995264e-1,2.789398568413907833e-2,-6.438505874705011123e-2,1.730252651776053252e0,-5.000014999984994999e-7
22,1.382330803739708927e2,-4.999721980731363473e-7,-6.399394509076537007e-9,1.477837987113259641e-8,-1.731954501451197209e-6,4.999721980731428039e-1,6.399394509053545933e-3,-1.477837987113253537e-2,1.731954501451197004e0,-5.000014999984994999e-7
23,1.445306578134189692e2,-4.993433125100349800e-7,-3.136807820008209121e-8,7.239404204276709032e-8,-1.729777465973059629e-6,4.993433125100417702e-1,3.136807820005746428e-2,-7.239404204276699006e-2,1.729777465973059369e0,-5.000014999984994999e-7
24,1.508020014548158088e2,-4.999199220075819250e-7,-1.092529180984575606e-8,2.522889823930838812e-8,-1.731773431201209878e-6,4.999199220075896122e-1,1.092529180981936972e-2,-2.522889823930828113e-2,1.731773431201209634e0,-5.000014999984997117e-7
25,1.570819503251831861e2,-4.999802425939708283e-7,-5.374548713426608155e-9,1.241176197993424192e-8,-1.731982367191397032e-6,4.999802425939792183e-1,5.374548713398622120e-3,-1.241176197993409946e-2,1.731982367191396976e0,-5.000014999984992882e-7
26,1.633797258888388058e2,-4.993714978778744574e-7,-3.068722061920445668e-8,7.082469324101673872e-8,-1.729874977687859488e-6,4.993714978778835967e-1,3.068722061917534757e-2,-7.082469324101656194e-2,1.729874977687859250e0,-5.000014999984997117e-7
27,1.696596627404623803e2,-4.995787024562490897e-7,-2.512095242572976576e-8,5.799001059022255165e-8,-1.730592003198381363e-6,4.995787024562595713e-1,2.512095242570000150e-2,-5.799001059022232396e-2,1.730592003198381468e0,-5.000014999984992882e-7
28,1.759395746576421971e2,-4.997457217571127774e-7,-1.950944133198963151e-8,4.504373877606984255e-8,-1.731170184939900464e-6,4.997457217571246169e-1,1.950944133195958372e-2,-4.504373877606961118e-2,1.731170184939900381e0,-5.000014999984994999e-7
29,1.822194698495908085e2,-4.998712896372855726e-7,-1.386732965369920238e-8,3.202115262377634553e-8,-1.731604998728692908e-6,4.998712896372987657e-1,1.386732965366859784e-2,-3.202115262377616678e-2,1.731604998728693001e0,-5.000014999984994999e-7
30,1.885081429100258106e2,-4.996336970887756159e-7,-2.342227382495205619e-8,5.407169893747627894e-8,-1.730782360429667179e-6,4.996336970887897411e-1,2.342227382492100343e-2,-5.407169893747619527e-2,1.730782360429667266e0,-5.000014999984992882e-7
31,1.947881347229214271e2,-4.997847097509811860e-7,-1.794854112957061345e-8,4.144152044446823126e-8,-1.731305180050753150e-6,4.997847097509957592e-1,1.794854112953902722e-2,-4.144152044446815231e-2,1.731305180050753068e0,-5.000014999984994999e-7
32,2.010771083484561075e2,-4.994758962241146064e-7,-2.802139312472644467e-8,6.467883415299582872e-8,-1.730236208054739739e-6,4.994758962241299671e-1,2.802139312469411475e-2,-6.467883415299567618e-2,1.730236208054739544e0,-5.000014999984999234e-7
33,2.073570581915275852e2,-4.996626454429576548e-7,-2.247655939670133461e-8,5.188996304430038717e-8,-1.730882570044909796e-6,4.996626454429738406e-1,2.247655939666841352e-2,-5.188996304430025519e-2,1.730882570044909752e0,-5.000014999984992882e-7
34,2.136369983461018194e2,-4.998087793036807318e-7,-1.691310711254914718e-8,3.905173887616950463e-8,-1.731388525626253641e-6,4.998087793036976034e-1,1.691310711251564625e-2,-3.905173887616943118e-2,1.731388525626253561e0,-5.000014999984992882e-7
35,2.199260550807719312e2,-4.995086730928156019e-7,-2.713039265053867226e-8,6.262428303320388974e-8,-1.730349635365487867e-6,4.995086730928328667e-1,2.713039265050467413e-2,-6.262428303320385914e-2,1.730349635365487915e0,-5.000014999984994999e-7
36,2.262057959433620908e2,-4.996991633204312825e-7,-2.122348857617557817e-8,4.899888025227036918e-8,-1.731008991116224494e-6,4.996991633204487249e-1,2.122348857614093920e-2,-4.899888025227036592e-2,1.731008991116224527e0,-5.000014999984990764e-7
37,2.324857299036386848e2,-4.998362264552329630e-7,-1.564895633349282524e-8,3.613385305585804493e-8,-1.731483571699623460e-6,4.998362264552502765e-1,1.564895633345755876e-2,-3.613385305585804785e-2,1.731483571699623303e0,-5.000014999984994999e-7
38,2.387745280466805866e2,-4.995686397474684650e-7,-2.541947789092902423e-8,5.867854611297664545e-8,-1.730557174620951250e-6,4.995686397474856655e-1,2.541947789089283455e-2,-5.867854611297670941e-2,1.730557174620951155e0,-5.000014999984997117e-7
39,2.450544658948530241e2,-4.997367049990700756e-7,-1.985295740497046757e-8,4.583644149262006769e-8,-1.731138966102685946e-6,4.997367049990870669e-1,1.985295740493344188e-2,-4.583644149262007528e-2,1.731138966102685917e0,-5.000014999984988646e-7
40,2.513430872608285824e2,-4.994264152735552574e-7,-2.931516759411741105e-8,6.766177145733571040e-8,-1.730064988839141575e-6,4.994264152735722329e-1,2.931516759407933395e-2,-6.766177145733574816e-2,1.730064988839141282e0,-5.000014999984997117e-7
41,2.576231097750596177e2,-4.996187282819540951e-7,-2.389660425538169257e-8,5.516589321505134351e-8,-1.730730545652526606e-6,4.996187282819707920e-1,2.389660425534243654e-2,-5.516589321505134536e-2,1.730730545652526375e0,-5.000014999985001352e-7
42,2.638938719888776632e2,-4.999955319878749044e-7,-2.439671125245541596e-9,5.634162401282058658e-9,-1.732035329975460546e-6,4.999955319878918170e-1,2.439671125205004378e-3,-5.634162401282047372e-3,1.732035329975460503e0,-5.000014999984994999e-7
43,2.701915277575827190e2,-4.994934300744927719e-7,-2.754834460213297479e-8,6.358806036651751495e-8,-1.730296884601163743e-6,4.994934300745099698e-1,2.754834460209119526e-2,-6.358806036651745708e-2,1.730296884601163487e0,-5.000014999984999234e-7
44,2.764714184055438295e2,-4.996796827316568387e-7,-2.190087284383735426e-8,5.056177940745346531e-8,-1.730941550207328014e-6,4.996796827316745682e-1,2.190087284379425500e-2,-5.056177940745340549e-2,1.730941550207327984e0,-5.000014999984994999e-7
45,2.827598718505714714e2,-4.993556747425723677e-7,-3.107129014943260681e-8,7.170997408312256900e-8,-1.729820234385360249e-6,4.993556747425904607e-1,3.107129014938790623e-2,-7.170997408312251853e-2,1.729820234385359923e0,-5.000014999984999234e-7
46,2.890316651068920351e2,-4.999127527841723673e-7,-1.140679273078334875e-8,2.634060078836110810e-8,-1.731748600413003083e-6,4.999127527841903951e-1,1.140679273073714160e-2,-2.634060078836111818e-2,1.731748600413002936e0,-5.000014999984997117e-7
