# REBOUND parity — Figure-8 choreography — REBOUND IAS15 side
# protocol: paper/notebooks/2026-04-26-rebound-parity-figure8.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# mass=1.0, period=6.325913986999999850e+00
# n_periods=10, samples_per_period=200, dt0=6.424945463533106478e-04
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
1546,4.890340747986972758e+01,-4.053195351420426085e-01,-3.007176471407679852e-01,-1.097808419247074507e+00,-4.887189300370425871e-01,-6.703285237867940838e-01,3.579221881870996991e-01,1.009518104593910559e+00,2.140246978928439514e-02,1.075648058928830419e+00,-5.720454104633634212e-02,8.829031465316375393e-02,4.673164602477579699e-01,-1.287141991766325377e+00
1547,4.894393558470998329e+01,-4.500116042552355089e-01,-3.189126153441488309e-01,-1.106409881869669043e+00,-4.082324294659812058e-01,-6.286115859980565546e-01,3.571782898996860300e-01,1.047775926491102849e+00,-5.904807019588974304e-02,1.078623190253285902e+00,-3.826567455554185510e-02,5.863395537856601336e-02,4.672804996618707407e-01,-1.287141991766325821e+00
1548,4.896399181091382502e+01,-4.722181532643070501e-01,-3.266838706442929396e-01,-1.107663300060427680e+00,-3.665432170609838058e-01,-6.074357061038248018e-01,3.555779227251927299e-01,1.063501015444408226e+00,-1.007113269328970551e-01,1.079653859368125746e+00,-2.889405208090444280e-02,4.416228461601923866e-02,4.672545439938806666e-01,-1.287141991766325599e+00
1549,4.900382517622959710e+01,-5.162872841410113267e-01,-3.395961289515805337e-01,-1.103477925844336349e+00,-2.813647650395413313e-01,-5.645574019247419084e-01,3.498787226990314747e-01,1.087807771437675486e+00,-1.858511281095625023e-01,1.080844686065747018e+00,-1.028259374745568722e-02,1.567015440666065518e-02,4.672158931491036116e-01,-1.287141991766325599e+00
1550,4.904346945547494840e+01,-5.597963108435125568e-01,-3.490453790810382206e-01,-1.089894269334226617e+00,-1.953190202129916064e-01,-5.211100825322069197e-01,3.408057166202544952e-01,1.102449203482759543e+00,-2.718946170094925785e-01,1.080906393375713259e+00,8.239662460779006992e-03,-1.255493414853293965e-02,4.672136372224839906e-01,-1.287141991766325599e+00
1551,4.906328023752011092e+01,-5.812890550916079979e-01,-3.524906935515275674e-01,-1.079511528798230424e+00,-1.525710345171806537e-01,-4.992287289382525972e-01,3.349950417497206678e-01,1.106195527916004728e+00,-3.146563944850045424e-01,1.080517784029854322e+00,1.749565180180219504e-02,-2.668399911777458167e-02,4.672274290021849463e-01,-1.287141991766325821e+00
1552,4.910300036224208498e+01,-6.236450188079731838e-01,-3.568759110865454276e-01,-1.051686961853035340e+00,-6.878170939364550152e-02,-4.552474800997002857e-01,3.208210473696955778e-01,1.106896947602335146e+00,-3.984926798254123104e-01,1.078892498907667141e+00,3.605486371684517299e-02,-5.520998574930009034e-02,4.672743892190576176e-01,-1.287141991766326043e+00
1553,4.912294993357723882e+01,-6.444566408024523518e-01,-3.578411786780926751e-01,-1.034383034271210366e+00,-2.818895494250767131e-02,-4.331901609532592401e-01,3.124641414587505106e-01,1.104079572844026025e+00,-4.391097236965033068e-01,1.077646801755705264e+00,4.537703721933744605e-02,-6.969653857281608855e-02,4.672986786390107561e-01,-1.287141991766325377e+00
1554,4.916320404798214838e+01,-6.852962024656064077e-01,-3.573909985880360241e-01,-9.934405019758372202e-01,4.953439828642143550e-02,-3.889495024239275622e-01,2.932027367120437766e-01,1.092845427300650485e+00,-5.168477723333576579e-01,1.074245704889527753e+00,6.418826187598752897e-02,-9.940492532481340349e-02,4.673133740469360142e-01,-1.287141991766325821e+00
1555,4.920409893436354309e+01,-7.249514237237721925e-01,-3.538667284518524636e-01,-9.449112893307801686e-01,1.215618610517790188e-01,-3.445976963991029263e-01,2.705692747230809547e-01,1.075363904076429566e+00,-5.887716491825543130e-01,1.069549120122868846e+00,8.329745372876677656e-02,-1.304526147456496477e-01,4.672097881307751277e-01,-1.287141991766325599e+00
