# Pair separation r(t) for the truncated-kernel run (downsampled, stride 30)
t,r
1.224100e1,1.153335e0
1.227100e1,1.167462e0
1.230100e1,1.181485e0
1.233100e1,1.195402e0
1.236100e1,1.209209e0
1.239100e1,1.222906e0
1.242100e1,1.236491e0
1.245100e1,1.249962e0
1.248100e1,1.263318e0
1.251100e1,1.276557e0
1.254100e1,1.289679e0
1.257100e1,1.302683e0
1.260100e1,1.315568e0
1.263100e1,1.328334e0
1.266100e1,1.340979e0
1.269100e1,1.353504e0
1.272100e1,1.365908e0
1.275100e1,1.378191e0
1.278100e1,1.390353e0
1.281100e1,1.402393e0
1.284100e1,1.414313e0
1.287100e1,1.426110e0
1.290100e1,1.437787e0
1.293100e1,1.449342e0
1.296100e1,1.460777e0
1.299100e1,1.472090e0
1.302100e1,1.483283e0
1.305100e1,1.494355e0
1.308100e1,1.505307e0
1.311100e1,1.516140e0
1.314100e1,1.526853e0
1.317100e1,1.537446e0
1.320100e1,1.547921e0
1.323100e1,1.558277e0
1.326100e1,1.568515e0
1.329100e1,1.578636e0
1.332100e1,1.588639e0
1.335100e1,1.598525e0
1.338100e1,1.608295e0
1.341100e1,1.617948e0
1.344100e1,1.627486e0
1.347100e1,1.636909e0
1.350100e1,1.646217e0
1.353100e1,1.655410e0
1.356100e1,1.664489e0
1.359100e1,1.673455e0
1.362100e1,1.682308e0
1.365100e1,1.691049e0
1.368100e1,1.699677e0
1.371100e1,1.708193e0
1.374100e1,1.716598e0
1.377100e1,1.724892e0
1.380100e1,1.733076e0
1.383100e1,1.741149e0
1.386100e1,1.749113e0
1.389100e1,1.756968e0
1.392100e1,1.764714e0
1.395100e1,1.772352e0
1.398100e1,1.779881e0
1.401100e1,1.787303e0
1.404100e1,1.794618e0
1.407100e1,1.801826e0
1.410100e1,1.808928e0
1.413100e1,1.815924e0
1.416100e1,1.822814e0
1.419100e1,1.829599e0
1.422100e1,1.836279e0
1.425100e1,1.842854e0
1.428100e1,1.849326e0
1.431100e1,1.855693e0
1.434100e1,1.861957e0
1.437100e1,1.868118e0
1.440100e1,1.874177e0
1.443100e1,1.880132e0
1.446100e1,1.885986e0
1.449100e1,1.891738e0
1.452100e1,1.897388e0
1.455100e1,1.902937e0
1.458100e1,1.908386e0
1.461100e1,1.913733e0
1.464100e1,1.918981e0
1.467100e1,1.924128e0
1.470100e1,1.929176e0
1.473100e1,1.934124e0
1.476100e1,1.938973e0
1.479100e1,1.943723e0
1.482100e1,1.948375e0
1.485100e1,1.952928e0
1.488100e1,1.957383e0
1.491100e1,1.961740e0
1.494100e1,1.965999e0
1.497100e1,1.970161e0
1.500100e1,1.974226e0
1.503100e1,1.978193e0
1.506100e1,1.982064e0
1.509100e1,1.985839e0
1.512100e1,1.989516e0
1.515100e1,1.993098e0
1.518100e1,1.996584e0
1.521100e1,1.999974e0
1.524100e1,2.003268e0
1.527100e1,2.006467e0
1.530100e1,2.009570e0
1.533100e1,2.012579e0
1.536100e1,2.015492e0
1.539100e1,2.018311e0
1.542100e1,2.021035e0
1.545100e1,2.023665e0
1.548100e1,2.026200e0
1.551100e1,2.028641e0
1.554100e1,2.030987e0
1.557100e1,2.033240e0
1.560100e1,2.035399e0
1.563100e1,2.037465e0
1.566100e1,2.039436e0
1.569100e1,2.041314e0
1.572100e1,2.043099e0
1.575100e1,2.044790e0
1.578100e1,2.046388e0
1.581100e1,2.047893e0
1.584100e1,2.049305e0
1.587100e1,2.050624e0
1.590100e1,2.051849e0
1.593100e1,2.052982e0
1.596100e1,2.054023e0
1.599100e1,2.054970e0
1.602100e1,2.055825e0
1.605100e1,2.056587e0
1.608100e1,2.057256e0
1.611100e1,2.057833e0
1.614100e1,2.058317e0
1.617100e1,2.058709e0
1.620100e1,2.059008e0
1.623100e1,2.059214e0
1.626100e1,2.059328e0
1.629100e1,2.059350e0
1.632100e1,2.059279e0
1.635100e1,2.059116e0
1.638100e1,2.058860e0
1.641100e1,2.058512e0
1.644100e1,2.058071e0
1.647100e1,2.057537e0
1.650100e1,2.056911e0
1.653100e1,2.056193e0
1.656100e1,2.055382e0
1.659100e1,2.054478e0
1.662100e1,2.053481e0
1.665100e1,2.052391e0
1.668100e1,2.051209e0
1.671100e1,2.049934e0
1.674100e1,2.048566e0
1.677100e1,2.047104e0
1.680100e1,2.045550e0
1.683100e1,2.043902e0
1.686100e1,2.042161e0
1.689100e1,2.040327e0
1.692100e1,2.038399e0
1.695100e1,2.036378e0
1.698100e1,2.034263e0
1.701100e1,2.032054e0
1.704100e1,2.029751e0
1.707100e1,2.027354e0
1.710100e1,2.024863e0
1.713100e1,2.022278e0
1.716100e1,2.019598e0
1.719100e1,2.016824e0
1.722100e1,2.013955e0
1.725100e1,2.010991e0
1.728100e1,2.007932e0
1.731100e1,2.004777e0
1.734100e1,2.001528e0
1.737100e1,1.998183e0
1.740100e1,1.994742e0
1.743100e1,1.991205e0
1.746100e1,1.987572e0
1.749100e1,1.983843e0
1.752100e1,1.980018e0
1.755100e1,1.976095e0
1.758100e1,1.972076e0
1.761100e1,1.967960e0
1.764100e1,1.963746e0
1.767100e1,1.959435e0
1.770100e1,1.955026e0
1.773100e1,1.950519e0
1.776100e1,1.945913e0
1.779100e1,1.941209e0
1.782100e1,1.936406e0
1.785100e1,1.931505e0
1.788100e1,1.926504e0
1.791100e1,1.921403e0
1.794100e1,1.916202e0
1.797100e1,1.910902e0
1.800100e1,1.905500e0
1.803100e1,1.899998e0
